segment	start	stop	type
snake31_S6	3485	3467	E
snake39_L3	1	6871	S
snake39_L3	6811	611	L
snake39_L3	119	478	Z
snake39_L3	4	18	PE
snake39_L18	1	6920	S
snake39_L18	4	18	PE
snake39_L18	6835	608	L
snake39_L18	119	460	Z
snake39_S6	1	3471	S
snake39_S6	3397	1622	NP
snake39_S6	173	1462	GPC
snake39_S6	1	19	E
snake7_L2	1	6926	S
snake7_L2	6838	623	L
snake7_L2	119	469	Z
snake7_L2	4	18	PE
snake7_L2	6921	6913	PE
snake7_S3	1	3386	S
snake7_S3	3295	1520	NP
snake7_S3	150	1430	GPC
snake7_S3	1	19	E
snake7_S3	3386	3368	E
snake38_L3	1	6905	S
snake38_L3	6812	612	L
snake38_L3	120	479	Z
snake38_L3	1	19	E
snake38_L3	6905	6887	E
snake38_L18	1	6926	S
snake38_L18	1	19	E
snake38_L18	6841	611	L
snake38_L18	120	461	Z
snake38_S6	1	3470	S
snake38_S6	3398	1623	NP
snake38_S6	173	1462	GPC
snake38_S6	1	19	E
snake40_L6	1	6887	S
snake40_L6	1	19	E
snake40_L6	6824	627	L
snake40_L6	119	475	Z
snake40_L3	1	6868	S
snake40_L3	6808	608	L
snake40_L3	116	475	Z
snake40_L3	1	15	PE
snake40_L7	1	6838	S
snake40_L7	6793	578	L
snake40_L7	106	468	Z
snake40_L7	1	19	E
snake40_L11	1	6931	S
snake40_L11	6856	614	L
snake40_L11	118	465	Z
snake40_L11	1	19	E
snake40_L11	6931	6913	E
snake40_L20	1	6859	S
snake40_L20	1	19	E
snake40_L20	6812	606	L
snake40_L20	88	435	Z
snake40_L8	1	6849	S
snake40_L8	6835	644	L
snake40_L8	101	460	Z
snake40_L19	1	6814	S
snake40_L19	33	380	Z
snake40_L19	6731	465	L
snake40_S6	1	3477	S
snake40_S6	3387	1612	NP
snake40_S6	170	1453	GPC
snake40_S6	1	19	E
snake40_S6	3474	3460	PE
snake41_L6	1	6842	S
snake41_L6	1	19	E
snake41_L6	6819	622	L
snake41_L6	107	463	Z
snake41_L3	1	6899	S
snake41_L3	6810	610	L
snake41_L3	118	477	Z
snake41_L3	3	17	PE
snake41_L3	6899	6885	PE
snake41_L18	1	6926	S
snake41_L18	6841	611	L
snake41_L18	120	461	Z
snake41_L18	1	19	E
snake41_L7	1	6919	S
snake41_L7	6793	578	L
snake41_L7	106	468	Z
snake41_L7	1	19	E
snake41_L7	6914	6906	PE
snake41_L16	1	6914	S
snake41_L16	6914	6896	E
snake41_L16	6810	571	L
snake41_L16	115	462	Z
snake41_L16	212	213	RJ
snake41_S5	1	3404	S
snake41_S5	3347	1560	NP
snake41_S5	115	1392	GPC
snake41_S6	1	3471	S
snake41_S6	1	19	PE
snake41_S6	3397	1622	NP
snake41_S6	173	1462	GPC
snake8_L2	1	6927	S
snake8_L2	6839	624	L
snake8_L2	120	470	Z
snake8_L2	1	19	E
snake8_L2	6922	6914	PE
snake8_S6	1	3487	S
snake8_S6	3396	1621	NP
snake8_S6	172	1461	GPC
snake8_S6	1	19	E
snake8_S6	3487	3469	E
snake16_L21	1	6855	S
snake16_L21	6855	6841	PE
snake16_L21	6755	534	L
snake16_L21	49	396	Z
snake16_S6	1	3480	S
snake16_S6	3389	1620	NP
snake16_S6	173	1462	GPC
snake16_S6	1	19	E
snake16_S6	3480	3462	E
snake17_L21	1	6856	S
snake17_L21	6855	6841	PE
snake17_L21	6755	534	L
snake17_L21	49	396	Z
snake17_S6	1	3439	S
snake17_S6	3383	1614	NP
snake17_S6	167	1456	GPC
snake17_S6	5	13	PE
snake9_L2	1	6926	S
snake9_L2	6838	623	L
snake9_L2	119	469	Z
snake9_L2	4	18	PE
snake9_L2	6921	6913	PE
snake9_S6	1	3469	S
snake9_S6	3396	1621	NP
snake9_S6	172	1461	GPC
snake9_S6	1	19	E
snake42_L6	1	6951	S
snake42_L6	1	19	E
snake42_L6	6813	616	L
snake42_L6	107	463	Z
snake42_L3	1	6903	S
snake42_L3	6810	610	L
snake42_L3	118	477	Z
snake42_L3	6903	6885	E
snake42_L3	3	17	PE
snake42_L18	1	6926	S
snake42_L18	1	19	E
snake42_L18	6841	611	L
snake42_L18	120	461	Z
snake42_L7	1	6934	S
snake42_L7	1	19	E
snake42_L7	6920	6906	PE
snake42_L7	6793	578	L
snake42_L7	106	468	Z
snake42_S5	1	3436	S
snake42_S5	3368	1581	NP
snake42_S5	136	1413	GPC
snake42_S5	1	19	E
snake42_S6	1	3446	S
snake42_S6	3372	1597	NP
snake42_S6	130	1437	GPC
snake42_S6	1	19	E
snake43_L6	1	6951	S
snake43_L6	1	19	E
snake43_L6	6813	616	L
snake43_L6	107	463	Z
snake43_L3	1	6903	S
snake43_L3	6810	610	L
snake43_L3	118	477	Z
snake43_L3	6903	6885	E
snake43_L3	3	17	PE
snake43_L18	1	6926	S
snake43_L18	1	19	E
snake43_L18	6841	611	L
snake43_L18	120	461	Z
snake43_L7	1	6901	S
snake43_L7	6793	578	L
snake43_L7	106	468	Z
snake43_L7	1	19	E
snake43_L12	1	6945	S
snake43_L12	1	19	E
snake43_L12	6841	614	L
snake43_L12	120	464	Z
snake43_S6	1	3463	S
snake43_S6	3372	1597	NP
snake43_S6	130	1437	GPC
snake43_S6	1	19	E
snake43_S6	3463	3445	E
snake45_L3	1	6905	S
snake45_L3	6812	612	L
snake45_L3	120	479	Z
snake45_L3	1	19	E
snake45_L3	6905	6887	E
snake45_L7	1	6918	S
snake45_L7	6793	578	L
snake45_L7	106	468	Z
snake45_L7	1	19	E
snake45_L7	6914	6906	PE
snake45_S5	1	3456	S
snake45_S5	3364	1577	NP
snake45_S5	132	1409	GPC
snake45_S5	3456	3438	E
snake45_S5	1	15	PE
snake45_S6	1	3487	S
snake45_S6	3396	1621	NP
snake45_S6	173	1462	GPC
snake45_S6	1	19	E
snake45_S6	3487	3469	E
snake44_L6	1	6868	S
snake44_L6	1	19	E
snake44_L6	6813	616	L
snake44_L6	107	463	Z
snake44_L3	1	6905	S
snake44_L3	6812	612	L
snake44_L3	120	479	Z
snake44_L3	1	19	E
snake44_L3	6905	6887	E
snake44_L18	1	6925	S
snake44_L18	4	18	PE
snake44_L18	6840	610	L
snake44_L18	119	460	Z
snake44_L7	1	6824	S
snake44_L7	1	19	E
snake44_L7	6793	578	L
snake44_L7	106	468	Z
snake44_S5	1	3428	S
snake44_S5	3359	1572	NP
snake44_S5	127	1404	GPC
snake44_S5	2	10	PE
snake44_S6	1	3459	S
snake44_S6	3372	1597	NP
snake44_S6	148	1437	GPC
snake44_S6	1	19	E
snake44_S6	3459	3445	PE
snake26_L18	1	6880	S
snake26_L18	6829	608	L
snake26_L18	116	457	Z
snake26_L18	1	15	PE
snake26_L21	1	6967	S
snake26_L21	6870	649	L
snake26_L21	163	510	Z
snake26_L7	1	6934	S
snake26_L7	1	19	E
snake26_L7	6920	6906	PE
snake26_L7	6793	578	L
snake26_L7	106	468	Z
snake26_S7	1	3678	S
snake26_S7	1479	1613	PGPC
snake26_S7	1478	1479	RJ
snake26_S7	1	19	E
snake26_S7	3677	3659	E
snake26_S7	3599	1854	NP
snake26_S7	161	1450	GPC
snake26_S6	1	3476	S
snake26_S6	3385	1610	NP
snake26_S6	161	1450	GPC
snake26_S6	1	19	E
snake26_S6	3476	3458	E
snake37_L3	1	6897	S
snake37_L3	6812	612	L
snake37_L3	120	479	Z
snake37_L3	1	19	E
snake37_L3	6895	6887	PE
snake37_L21	1	6859	S
snake37_L21	6755	534	L
snake37_L21	49	396	Z
snake37_L21	6859	6841	E
snake37_L13	1	6876	S
snake37_L13	6800	573	L
snake37_L13	120	464	Z
snake37_L13	1	19	E
snake37_L13	6876	6858	E
snake37_S6	1	3452	S
snake37_S6	3397	1622	NP
snake37_S6	173	1462	GPC
snake37_S6	1	19	E
snake12_L3	1	6905	S
snake12_L3	6812	612	L
snake12_L3	120	479	Z
snake12_L3	1	19	E
snake12_L3	6905	6887	E
snake12_S6	1	3490	S
snake12_S6	3399	1624	NP
snake12_S6	170	1462	GPC
snake12_S6	1	19	E
snake12_S6	3490	3472	E
snake34_L6	1	6884	S
snake34_L6	6818	621	L
snake34_L6	113	469	Z
snake34_L6	5	13	PE
snake34_L3	1	6905	S
snake34_L3	6812	612	L
snake34_L3	120	479	Z
snake34_L3	1	19	E
snake34_L3	6905	6887	E
snake34_L18	1	6925	S
snake34_L18	4	18	PE
snake34_L18	6840	610	L
snake34_L18	119	460	Z
snake34_L21	1	6859	S
snake34_L21	6755	534	L
snake34_L21	49	396	Z
snake34_L21	6859	6841	E
snake34_L7	1	6828	S
snake34_L7	6792	577	L
snake34_L7	105	467	Z
snake34_L7	1	19	E
snake34_L11	1	6914	S
snake34_L11	1	19	E
snake34_L11	6856	614	L
snake34_L11	118	465	Z
snake34_L20	1	6908	S
snake34_L20	6	14	PE
snake34_L20	6807	601	L
snake34_L20	83	430	Z
snake34_L9	1	6872	S
snake34_L9	6794	606	L
snake34_L9	121	483	Z
snake34_L9	1	19	E
snake34_L9	6872	6854	E
snake34_L14	1	7009	S
snake34_L14	1	19	E
snake34_L14	6883	668	L
snake34_L14	119	469	Z
snake34_L22	1	6929	S
snake34_L22	1	19	E
snake34_L22	6793	572	L
snake34_L22	90	437	Z
snake34_L17	1	6888	S
snake34_L17	6770	549	L
snake34_L17	90	437	Z
snake34_L17	1	19	E
snake34_L17	6888	6870	E
snake34_S11	1	3380	S
snake34_S11	3304	1547	NP
snake34_S11	119	1390	GPC
snake34_S11	1	19	E
snake34_S11	3380	3362	E
snake34_S10	1	3489	S
snake34_S10	1	19	E
snake34_S10	3455	1710	NP
snake34_S10	94	1338	GPC
snake34_S10	1475	1476	RJ
snake34_S9	1	3405	S
snake34_S9	3329	1587	NP
snake34_S9	94	1338	GPC
snake34_S9	1	19	E
snake34_S9	3405	3387	E
snake34_S6	1	3447	S
snake34_S6	3384	1609	NP
snake34_S6	160	1449	GPC
snake34_S6	1	19	E
snake33_L6	1	6866	S
snake33_L6	6852	6838	PE
snake33_L6	6765	568	L
snake33_L6	72	428	Z
snake33_L3	1	6897	S
snake33_L3	6804	604	L
snake33_L3	112	471	Z
snake33_L3	6897	6879	E
snake33_L3	3	11	PE
snake33_L18	1	6889	S
snake33_L18	5	19	PE
snake33_L18	6842	612	L
snake33_L18	120	461	Z
snake33_L21	1	6936	S
snake33_L21	132	479	Z
snake33_L21	6839	618	L
snake33_L15	1	6838	S
snake33_L15	6733	539	L
snake33_L15	89	436	Z
snake33_L15	4	18	PE
snake33_L12	1	6945	S
snake33_L12	5	19	PE
snake33_L12	6841	614	L
snake33_L12	120	464	Z
snake33_L20	1	6859	S
snake33_L20	1	19	E
snake33_L20	6812	606	L
snake33_L20	88	435	Z
snake33_L19	1	6798	S
snake33_L19	33	380	Z
snake33_L19	6730	464	L
snake33_L17	1	6877	S
snake33_L17	6765	544	L
snake33_L17	85	432	Z
snake33_L17	6	14	PE
snake33_L17	6872	6864	PE
snake33_L4	1	6916	S
snake33_L4	502	531	RJ
snake33_L4	6916	6898	E
snake33_L4	3	11	PE
snake33_L4	6796	605	L
snake33_L4	112	471	Z
snake33_S6	1	3488	S
snake33_S6	3397	1622	NP
snake33_S6	173	1462	GPC
snake33_S6	1	19	E
snake33_S6	3488	3470	E
snake18_L7	1	6838	S
snake18_L7	6793	578	L
snake18_L7	106	468	Z
snake18_L7	1	19	E
snake18_S6	1	3423	S
snake18_S6	3394	1619	NP
snake18_S6	170	1459	GPC
snake18_S6	1	19	E
snake6_L2	1	6922	S
snake6_L2	6830	630	L
snake6_L2	121	471	Z
snake6_L2	1	19	E
snake6_L2	6922	6904	E
snake6_S2	1	3382	S
snake6_S2	3312	1537	NP
snake6_S2	161	1447	GPC
snake6_S2	1	19	E
snake15_L3	1	6892	S
snake15_L3	6812	612	L
snake15_L3	120	479	Z
snake15_L3	1	19	E
snake15_S6	1	3483	S
snake15_S6	3397	1622	NP
snake15_S6	173	1462	GPC
snake15_S6	1	19	E
snake15_S6	3478	3470	PE
snake36_S6	1	3416	S
snake36_S6	3355	1654	NP
snake36_S6	130	1419	GPC
snake36_L3	1	6892	S
snake36_L3	6807	406	L
snake36_L3	115	474	Z
snake36_L3	6	14	PE
snake36_L3	6890	6882	PE
snake36_L21	1	6776	S
snake36_L21	49	396	Z
snake36_L21	5186	534	L
snake36_L11	1	6876	S
snake36_L11	89	436	Z
snake36_L11	6827	2556	L
snake36_L11	2531	438	L
snake36_L17	1	6787	S
snake36_L17	6742	344	L
snake1_L1	1	6791	S
snake1_L1	2	16	PE
snake1_L1	6653	513	L
snake1_L1	73	420	Z
snake1_S1	1	3414	S
snake1_S1	3223	1469	NP
snake1_S1	53	1234	GPC
snake1_S1	1	19	E
snake1_S1	3414	3396	E
snake2_L1	1	6812	S
snake2_L1	6656	516	L
snake2_L1	76	423	Z
snake2_L1	1	19	E
snake2_L1	6812	6794	E
snake2_S1	1	3414	S
snake2_S1	1	19	E
snake2_S1	3414	3396	E
snake2_S1	3223	1469	NP
snake2_S1	53	1234	GPC
snake3_L1	1	6807	S
snake3_L1	6656	516	L
snake3_L1	76	423	Z
snake3_L1	1	19	E
snake3_L1	6802	6794	PE
snake3_S1	1	3369	S
snake3_S1	3223	1469	NP
snake3_S1	53	1234	GPC
snake3_S1	1	19	E
snake4_L2	1	6922	S
snake4_L2	6830	630	L
snake4_L2	121	471	Z
snake4_L2	1	19	E
snake4_L2	6922	6904	E
snake4_S2	1	3463	S
snake4_S2	3391	1616	NP
snake4_S2	161	1444	GPC
snake4_S2	1	19	E
snake5_L2	1	6919	S
snake5_L2	6830	630	L
snake5_L2	121	471	Z
snake5_L2	1	19	E
snake5_L2	6918	6904	PE
snake5_S2	1	3480	S
snake5_S2	3389	1614	NP
snake5_S2	159	1442	GPC
snake5_S2	3	17	PE
snake5_S2	3480	3462	E
snake14_L3	1	6901	S
snake14_L3	6812	612	L
snake14_L3	120	479	Z
snake14_L3	1	19	E
snake14_L3	6901	6887	PE
snake14_S6	1	3431	S
snake14_S6	3397	1622	NP
snake14_S6	173	1462	GPC
snake14_S6	1	19	E
snake13_L3	1	6905	S
snake13_L3	6812	612	L
snake13_L3	120	479	Z
snake13_L3	1	19	E
snake13_L3	6905	6887	E
snake13_S6	1	3451	S
snake13_S6	3397	1622	NP
snake13_S6	173	1462	GPC
snake13_S6	1	19	E
snake25_L18	1	6927	S
snake25_L18	4	18	PE
snake25_L18	6841	611	L
snake25_L18	119	460	Z
snake25_L7	1	7010	S
snake25_L7	1	19	E
snake25_L7	6920	6906	PE
snake25_L7	6793	578	L
snake25_L7	106	468	Z
snake25_L10	1	6979	S
snake25_L10	6849	628	L
snake25_L10	119	475	Z
snake25_L10	1	19	E
snake25_L10	6966	6952	PE
snake25_S6	1	3470	S
snake25_S6	3396	1621	NP
snake25_S6	170	1459	GPC
snake25_S6	1	19	E
snake35_L3	1	6892	S
snake35_L3	6807	607	L
snake35_L3	115	474	Z
snake35_L3	6	14	PE
snake35_L3	6890	6882	PE
snake35_L18	1	6926	S
snake35_L18	4	18	PE
snake35_L18	6841	611	L
snake35_L18	119	460	Z
snake35_L21	1	6854	S
snake35_L21	6755	534	L
snake35_L21	49	396	Z
snake35_L21	6849	6841	PE
snake35_L11	1	6923	S
snake35_L11	6848	606	L
snake35_L11	110	457	Z
snake35_L11	6923	6905	E
snake35_L11	3	11	PE
snake35_L8	1	6920	S
snake35_L8	6845	657	L
snake35_L8	70	426	Z
snake35_L8	6920	6902	E
snake35_L17	1	6885	S
snake35_L17	6767	546	L
snake35_L17	87	434	Z
snake35_L17	6885	6867	E
snake35_L17	2	16	PE
snake35_S8	1	3433	S
snake35_S8	1	19	E
snake35_S8	3407	1650	NP
snake35_S8	173	1462	GPC
snake35_S8	1599	1600	RJ
snake35_S6	1	3448	S
snake35_S6	3394	1619	NP
snake35_S6	170	1459	GPC
snake35_S6	2	16	PE
snake20_L18	1	6927	S
snake20_L18	6842	612	L
snake20_L18	120	461	Z
snake20_L18	1	19	E
snake20_S9	1	3405	S
snake20_S9	3329	1587	NP
snake20_S9	94	1338	GPC
snake20_S9	1	19	E
snake20_S9	3405	3387	E
snake22_L3	1	6898	S
snake22_L3	6809	609	L
snake22_L3	117	476	Z
snake22_L3	2	16	PE
snake22_L3	6893	6885	PE
snake22_L11	1	6909	S
snake22_L11	2	16	PE
snake22_L11	6853	611	L
snake22_L11	115	462	Z
snake22_L10	1	7671	S
snake22_L10	1014	1015	RJ
snake22_L10	1015	611	PL
snake22_L10	1014	1169	PZ
snake22_L10	2	16	PE
snake22_L10	7660	7646	PE
snake22_L10	7543	1322	L
snake22_L10	115	462	Z
snake22_S6A	1	3479	S
snake22_S6A	3388	1613	NP
snake22_S6A	164	1453	GPC
snake22_S6A	1	19	E
snake22_S6A	3479	3461	E
snake22_S6B	1	3349	S
snake22_S6B	1229	1230	RJ
snake22_S6B	3275	1500	NP
snake22_S6B	94	1338	GPC
snake22_S6B	1	19	E
snake23_L11	1	6869	S
snake23_L11	89	436	Z
snake23_L11	6827	585	L
snake23_L10	1	7649	S
snake23_L10	1012	1013	RJ
snake23_L10	1013	609	PL
snake23_L10	1012	1167	PZ
snake23_L10	6	14	PE
snake23_L10	7541	1320	L
snake23_L10	113	460	Z
snake23_S6	1	3442	S
snake23_S6	3388	1613	NP
snake23_S6	164	1453	GPC
snake23_S6	1	19	E
snake46_L6	1	6892	S
snake46_L6	1	19	E
snake46_L6	6813	616	L
snake46_L6	107	463	Z
snake46_L3	1	6903	S
snake46_L3	6810	610	L
snake46_L3	118	477	Z
snake46_L3	6903	6885	E
snake46_L3	3	17	PE
snake46_L7	1	6919	S
snake46_L7	6793	578	L
snake46_L7	106	468	Z
snake46_L7	1	19	E
snake46_L7	6914	6906	PE
snake46_L4	1	7166	S
snake46_L4	768	610	PL
snake46_L4	768	769	RJ
snake46_L4	3	17	PE
snake46_L4	7105	914	L
snake46_L4	118	477	Z
snake46_S6	1	3485	S
snake46_S6	3394	1619	NP
snake46_S6	168	1457	GPC
snake46_S6	1	19	E
snake46_S6	3485	3467	E
snake47_L6	1	6892	S
snake47_L6	1	19	E
snake47_L6	6813	616	L
snake47_L6	107	463	Z
snake47_L3	1	6903	S
snake47_L3	6810	610	L
snake47_L3	118	477	Z
snake47_L3	6903	6885	E
snake47_L3	3	17	PE
snake47_L7	1	6901	S
snake47_L7	1	19	E
snake47_L7	6793	578	L
snake47_L7	106	468	Z
snake47_L5	1	6883	S
snake47_L5	102	458	Z
snake47_L5	6788	588	L
snake47_L4	1	7183	S
snake47_L4	768	610	PL
snake47_L4	768	769	RJ
snake47_L4	3	17	PE
snake47_L4	7105	914	L
snake47_L4	118	477	Z
snake47_S6	1	3485	S
snake47_S6	3394	1619	NP
snake47_S6	168	1457	GPC
snake47_S6	1	19	E
snake47_S6	3485	3467	E
snake48_L6	1	6841	S
snake48_L6	2	16	PE
snake48_L6	6810	613	L
snake48_L6	104	460	Z
snake48_L3	1	6853	S
snake48_L3	6810	610	L
snake48_L3	118	477	Z
snake48_L3	3	17	PE
snake48_L7	1	6894	S
snake48_L7	4	12	PE
snake48_L7	6786	571	L
snake48_L7	99	461	Z
snake48_L4	1	7149	S
snake48_L4	734	576	PL
snake48_L4	734	735	RJ
snake48_L4	7071	880	L
snake48_L4	84	443	Z
snake48_S6	1	3481	S
snake48_S6	3394	1619	NP
snake48_S6	168	1457	GPC
snake48_S6	1	19	E
snake48_S6	3481	3467	PE
snake21_L18	1	6927	S
snake21_L18	6842	612	L
snake21_L18	120	461	Z
snake21_L18	1	19	E
snake21_S9	1	3405	S
snake21_S9	3329	1587	NP
snake21_S9	94	1338	GPC
snake21_S9	1	19	E
snake21_S9	3405	3387	E
snake27_L18	1	6927	S
snake27_L18	6842	612	L
snake27_L18	120	461	Z
snake27_L18	1	19	E
snake27_L21	1	6858	S
snake27_L21	6858	6840	E
snake27_L21	6754	533	L
snake27_L21	49	396	Z
snake27_L7	1	6919	S
snake27_L7	6788	573	L
snake27_L7	102	464	Z
snake27_L7	6919	6901	E
snake27_L7	1	15	PE
snake27_L22	1	6927	S
snake27_L22	1	19	E
snake27_L22	6793	572	L
snake27_L22	90	437	Z
snake27_L2	1	6926	S
snake27_L2	6839	639	L
snake27_L2	121	474	Z
snake27_L2	1	19	E
snake27_L2	6922	6914	PE
snake27_S4	1	3495	S
snake27_S4	1571	1572	RJ
snake27_S4	3404	1620	NP
snake27_S4	153	1436	GPC
snake27_S4	1	15	PE
snake27_S4	3495	3477	E
snake27_S10	1	3437	S
snake27_S10	1608	1609	RJ
snake27_S10	3366	1621	NP
snake27_S10	94	1338	GPC
snake27_S10	1	19	E
snake27_S10	3433	3425	PE
snake27_S9	1	3384	S
snake27_S9	1	15	PE
snake27_S9	3325	1583	NP
snake27_S9	90	1334	GPC
snake27_S2	1	3323	S
snake27_S2	1	19	E
snake27_S2	3305	1530	NP
snake27_S2	157	1440	GPC
